city;coordinateNumber;nameImpurity;1September;2September;3September;4September;5September;6September;7September;8September;9September;10September;11September;12September;13September;14September;15September;16September;17September;18September;19September;20September;21September;22September;23September;24September;25September;26September;27September;28September;29September;30September;;;;;;;;;;;;
Кам'янське;4853460;Дiоксид сiрки;null;0,0107875;0,0078125;0,0085375;0,0083875;0,008225;0,0071875;null;0,0068375;0,007275;0,0073625;0,0079125;0,0072375;0,00795;null;0,0085;0,010275;0,0105;0,009875;0,009225;0,00855;null;0,008425;0,0097;0,0088;0,0106;0,009025;0,0098;null;0,007633333;;;;;;;;;;;;
Кам'янське;4853460;Оксид вуглецю;null;3,5;3,75;4,375;3,5;3,625;4;null;4;3,625;4,125;4;4,125;4,25;null;4,75;4,25;4,25;3,75;4;4,75;null;4,25;4,75;4;4,5;4;4,25;null;3,833333333;;;;;;;;;;;;
Кам'янське;4853460;Дiоксид азоту;null;0,137633333;0,1257;0,1339125;0,1353125;0,14431875;0,14935625;null;0,131208333;0,13531875;0,16234375;0,15363125;0,137125;0,1283;null;0,134566667;0,111125;0,0972;0,144725;0,1684625;0,1242375;null;0,1528;0,139825;0,10605;0,14365;0,1149125;0,12285;null;0,12806;;;;;;;;;;;;
Кам'янське;4853460;Оксид азоту;null;0,074033333;0,055925;0,072975;0,066775;0,07515;0,0821;null;0,064466667;0,069525;0,071125;0,08615;0,05955;0,05575;null;0,058033333;0,045875;0,04425;0,0474;0,0747;0,0663;null;0,0648;0,06205;0,051925;0,05515;0,0524;0,0617;null;0,045533333;;;;;;;;;;;;
Кам'янське;4853460;Сiрководень;null;0,006036364;0,005313333;0,005653333;0,005366667;0,005053333;0,004586667;null;0,004472727;0,004286667;0,00434;0,004526667;0,004486667;0,0042375;null;0,00505;0,0041875;0,00345;0,0037625;0,004225;0,0050375;null;0,003633333;0,0062375;0,0058125;0,0054875;0,005125;0,00545;null;0,005555556;;;;;;;;;;;;
Кам'янське;4853460;Фенол;null;0,007175;0,00634375;0,006075;0,0054875;0,00525625;0,0045875;null;0,005275;0,00496875;0,004625;0,00649375;0,00630625;0,0079125;null;0,007416667;0,0045375;0,0096625;0,00545;0,00525;0,0049625;null;0,005533333;0,0056625;0,0044625;0,0077;0,0064125;0,0055875;null;0,00532;;;;;;;;;;;;
Кам'янське;4853460;Амiак;null;0,0542625;0,05915;0,0493625;0,0457125;0,05075;0,0474625;null;0,0464875;0,0451625;0,049825;0,0494875;0,0454875;0,05355;null;0,05405;0,0526;0,04715;0,0491;0,054225;0,04425;null;0,05165;0,0538;0,05405;0,0519;0,04415;0,0416;null;0,054333333;;;;;;;;;;;;
Кам'янське;4853460;Формальдегiд;null;0,0135375;0,0128;0,011675;0,012175;0,012975;0,0121;null;0,012075;0,0106875;0,0134875;0,0119375;0,0116375;0,0122;null;0,013175;0,014;0,01365;0,01175;0,009975;0,011475;null;0,01195;0,01845;0,017325;0,017775;0,016475;0,016725;null;0,0136;;;;;;;;;;;;
Кропивницький;4853220;Завислі речовини;null;0,233333333;0,266666667;0,3;0,15;0,25;0,25;null;0,2;0,333333333;0,4;0,283333333;0,3;0,333333333;null;0,35;0,3;0,316666667;0,25;0,233333333;0,283333333;null;0,2;0,233333333;0,266666667;0,3;0,333333333;0,283333333;null;0,4;;;;;;;;;;;;
Кропивницький;4853220;Дiоксид сiрки;null;0,028644444;0,020858333;0,023458333;0,02185;0,017575;0,018958333;null;0,017255556;0,02425;0,015841667;0,021908333;0,019658333;0,023283333;null;0,018188889;0,022158333;0,015658333;0,0262;0,02245;0,016125;null;0,0152;0,017916667;0,019633333;0,018183333;0,020391667;0,022691667;null;0,027188889;;;;;;;;;;;;
Кропивницький;4853220;Сульфати;null;0,005;0,015;0,005;0,01;0;0,005;null;0,01;0,005;0,015;0;0,005;0,015;null;0;0,005;0,01;0,005;0;0,005;null;0;0,01;0,01;0,01;0;0,005;null;0,005;;;;;;;;;;;;
Кропивницький;4853220;Оксид вуглецю;null;2,333333333;3,333333333;2,333333333;2;2,166666667;2,166666667;null;2,166666667;2,5;3;3,166666667;3,166666667;4,166666667;null;3,5;2,666666667;2,166666667;2,166666667;1,5;2,166666667;null;2,5;3;3,666666667;3;3,666666667;3,833333333;null;3;;;;;;;;;;;;
