city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Кривий Ріг;4793340;Дiоксид азоту;null;0,036;0,03;0,028461538;0,020769231;0,043846154;0,030769231;null;0,023;0,024615385;0,030769231;0,016153846;0,016153846;0,023076923;null;0,016;0,020769231;0,02;0,034615385;0,045384615;0,022307692;null;0,024;0,025384615;0,025384615;0,02;0,026923077;0,020769231;null;null;null;
Кривий Ріг;4793340;Оксид азоту;null;0,02;0,016666667;0,02;0,01;0,033333333;0,023333333;null;0,015;0,013333333;0,013333333;0,006666667;0,01;0,013333333;null;0,005;0,01;0,01;0,02;0,023333333;0,016666667;null;0,015;0,013333333;0,02;0,013333333;0,02;0,013333333;null;null;null;
Кривий Ріг;4793340;Сiрководень;null;0,0013;0,0012;0,0011;0,0012;0,0018;0,0014;null;0,0008;0,0008;0,0014;0,0007;0,0007;0,0006;null;0,0007;0,0009;0,0008;0,0014;0,0015;0,0011;null;0,001;0,001;0,0011;0,0009;0,0009;0,0009;null;null;null;
Кривий Ріг;4793340;Фенол;null;0,001933333;0,00235;0,00185;0,0023;0,0032;0,00255;null;0,001266667;0,00135;0,0022;0,00115;0,00115;0,0012;null;0,001;0,00145;0,0014;0,0026;0,0032;0,00175;null;0,002;0,0017;0,00145;0,0013;0,0012;0,00115;null;null;null;
Кривий Ріг;4793340;Амiак;null;0,010666667;0,0105;0,01;0,0105;0,013;0,0115;null;0,008666667;0,0095;0,0095;0,0085;0,009;0,0075;null;0,008666667;0,0095;0,0095;0,01;0,0115;0,0115;null;0,01;0,01;0,0095;0,0095;0,01;0,0085;null;null;null;
Кривий Ріг;4793340;Формальдегiд;null;0,0106;0,01055;0,01075;0,01095;0,01335;0,01155;null;0,011733333;0,01125;0,0113;0,0069;0,00845;0,01065;null;0,009866667;0,0106;0,01065;0,0149;0,0174;0,01085;null;0,009666667;0,011;0,01135;0,01045;0,01075;0,0128;null;null;null;
Кам'янське;4853460;Завислі речовини;null;0,120875;0,0764;0,12735;0,13095;0,0504;0,125725;null;0,1739125;0,028875;0,0129375;0,0319;0;0;null;0,0319125;0,0193125;0,0448875;0,0479625;0,1013125;0,1492625;null;0,1101625;0,14105;0,1911;0,19785;0,1873625;0,2023375;null;0,1533125;0,168025;
Кам'янське;4853460;Дiоксид сiрки;null;0,007625;0,009175;0,009225;0,007625;0,006075;0,006325;null;0,0073375;0,00475;0,0058375;0,0058375;0,0053625;0,0043375;null;0,005125;0,0049125;0,00655;0,0071875;0,00755;0,00685;null;0,004925;0,00455;0,0048625;0,006075;0,00555;0,005875;null;0,0055;0,006025;
Кам'янське;4853460;Оксид вуглецю;null;2,75;2,75;3;2,5;3;3,25;null;3,25;3,125;3,125;3,25;3,125;3;null;3,25;3,25;3,25;3,125;3,25;3,375;null;3,25;3,25;3,25;3,125;3,5;3,25;null;3,375;3,5;
Кам'янське;4853460;Дiоксид азоту;null;0,118016667;0,1090875;0,0989625;0,1213;0,13365;0,089375;null;0,111225;0,09423125;0,06465625;0,05918125;0,08004375;0,065925;null;0,080491667;0,08184375;0,07275625;0,12223125;0,1174875;0,10045;null;0,126258333;0,13989375;0,15696875;0,13044375;0,11880625;0,1019125;null;0,1021;0,10371875;
