city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Херсон;4673270;Сульфати;0;0;0;0;0;null;0,015;0;0,005;0,005;0,015;null;0,01;0,01;0,01;0;0;null;0;0,01;0,005;0,005;0,005;null;0,015;0,005
Херсон;4673270;Оксид вуглецю;0,32;0,375714286;0,451428571;0,521428571;0,348571429;null;0,432857143;0,63;0,608571429;0,798571429;0,444285714;null;0,627142857;0,312857143;0,432857143;0,524285714;0,331428571;null;0,428571429;0,365714286;0,406666667;0,8525;0,652857143;null;0,357142857;0,244285714
Херсон;4673270;Дiоксид азоту;0,175714286;0,16;0,134444444;0,151111111;0,152222222;null;0,177142857;0,155555556;0,151111111;0,174444444;0,132222222;null;0,132857143;0,171111111;0,162222222;0,176666667;0,171111111;null;0,228571429;0,208888889;0,182222222;0,18125;0,174444444;null;0,234285714;0,18
Херсон;4673270;Оксид азоту;0,12;0,1125;0,0525;0,085;0,0575;null;0,083333333;0,065;0,07;0,1175;0,09;null;0,083333333;0,1075;0,08;0,095;0,0975;null;0,093333333;0,0775;0,12;0,105;0,08;null;0,106666667;0,085
Херсон;4673270;Фенол;0,007428571;0,005666667;0,002444444;0,003777778;0,006;null;0,009428571;0,003444444;0;0,000333333;0,000555556;null;0,002142857;0,004333333;0,002555556;0,004333333;0,004222222;null;0,001428571;0,006555556;0,003555556;0,005375;0,005555556;null;0,004142857;0,005444444
Херсон;4673270;Формальдегiд;0,001428571;0;0,002222222;0;0,001111111;null;0;0,002444444;0,001444444;0,001111111;0,004222222;null;0,002142857;0,005888889;0,011;0;0,001111111;null;0;0,001222222;0,005333333;0,007625;0,004;null;0,003285714;0,002777778
Черкаси;4933200;Завислі речовини;0,166666667;0,316666667;0,316666667;0,283333333;0,2;0,103333333;0,15;0,133333333;0,1;0,116666667;0,183333333;0,133333333;0,1;0,05;0,06;0;0,075;0,1;0,05;0,1;0,05;0,1;0,175;0,175;0,3;0,175
Черкаси;4933200;Дiоксид сiрки;0,012875;0,0175;0,0202;0,0134;0,0132;0,0108;0,011625;0,0111;0,0114;0,0125;0,0136;0,0126;0,011;0,0115;0,009222222;0,00925;0,00875;0,00925;0,009166667;0,009375;0,006625;0,01075;0,010625;0,0125;0,011333333;0,011125
Черкаси;4933200;Сульфати;0,01;0,01;0,01;0,01;0,015;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;null;null;null;null;null;null;null;null;null;null;null
Черкаси;4933200;Оксид вуглецю;0,666666667;1,333333333;1,166666667;1;1,833333333;1,166666667;1,5;2;1,333333333;2,5;1;1;1;1;0,6;1;1;1;1;1;1;1;1,5;1,5;1,25;3
Черкаси;4933200;Дiоксид азоту;0,033333333;0,040833333;0,029166667;0,034166667;0,033333333;0,040833333;0,04;0,0275;0,035;0,041666667;0,054166667;0,025833333;0,03;0,0275;0,022;0,0175;0,0275;0,01625;0,02;0,0175;0,0275;0,0275;0,02875;0,03125;0,028333333;0,04375
Черкаси;4933200;Оксид азоту;0,053333333;0,0325;0,035;0,0375;0,03;0,025;0,023333333;0,0275;0,045;0,06;0,0275;0,025;0,036666667;0,025;0,0775;0,04;0,025;0,0175;0,02;0,055;0,0225;0,0275;0,0325;0,0325;0,023333333;0,075
