city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Дніпро;4863510;Завислі речовини;0,325;0,275;0,2875;0,2125;0,3125;0,3;0,3125;0,3125;0,2875;0,2125;0,225;0,25;0,275;0,25;0,2625;0,2125;0,2625;0,25;0,25;0,2875;0,325;0,2375;0,25;0,3;0,2125;0,275;0,2375
Дніпро;4863510;Дiоксид сiрки;0,007583333;0,011458333;0,00675;0,00775;0,009277778;0,009458333;0,007208333;0,008458333;0,012083333;0,011875;0,008944444;0,007166667;0,007125;0,006875;0,015333333;0,009708333;0,013833333;0,008916667;0,006375;0,008458333;0,007083333;0,010125;0,010222222;0,013958333;0,0195;0,01;0,00575
Дніпро;4863510;Оксид вуглецю;2,416666667;2,75;2,166666667;2,25;2,416666667;2;2,333333333;1,833333333;1,666666667;1,75;1,833333333;1,75;1,916666667;2,333333333;2;1,583333333;2;2,25;1,916666667;1,833333333;2,083333333;2;2,333333333;2,083333333;2,25;1,916666667;2
Дніпро;4863510;Дiоксид азоту;0,094958333;0,102916667;0,080416667;0,078333333;0,066666667;0,051666667;0,054583333;0,058333333;0,060416667;0,059166667;0,057222222;0,0575;0,054583333;0,050833333;0,06375;0,06;0,072222222;0,069583333;0,070416667;0,0725;0,07125;0,06875;0,08;0,066666667;0,069166667;0,053333333;0,075416667
Дніпро;4863510;Оксид азоту;0,0475;0,05;0,035;0,04;0,036666667;0,0225;0,0175;0,04;0,035;0,0325;0,033333333;0,0325;0,03;0,03;0,0175;0,0175;0,043333333;0,035;0,03;0,04;0,0425;0,0375;0,033333333;0,0325;0,04;0,035;0,04
Дніпро;4863510;Сiрководень;0,003041667;0,00425;0,002625;0,0025;0,002722222;0,001416667;0,00175;0,002208333;0,002583333;0,002625;0,002111111;0,001208333;0,001041667;0,001708333;0,003125;0,002416667;0,002388889;0,002208333;0,000875;0,002791667;0,001791667;0,002083333;0,001555556;0,0025;0,001208333;0,001416667;0,001166667
Дніпро;4863510;Фенол;0,0035;0,003666667;0,003333333;0,002166667;0,002222222;0,002666667;0,002583333;0,002666667;0,00325;0,001916667;0,001777778;0,0035;0,002166667;0,00275;0,00175;0,00125;0,002555556;0,002416667;0,001083333;0,002666667;0,002583333;0,002416667;0,003;0,001916667;0,0025;0,002333333;0,00175
Дніпро;4863510;Амiак;0,04375;0,04125;0,0375;0,02875;0,036666667;0,03375;0,03625;0,025;0,035;0,03375;0,033333333;0,02875;0,03;0,035;0,03375;0,03625;0,045;0,03625;0,03875;0,03875;0,04;0,03875;0,038333333;0,04125;0,0375;0,035;0,03625
Дніпро;4863510;Формальдегiд;0,013083333;0,014166667;0,012083333;0,01;0,011777778;0,010583333;0,009333333;0,009083333;0,008583333;0,00975;0,01;0,008416667;0,009083333;0,010583333;0,010166667;0,010666667;0,012555556;0,0105;0,01175;0,013333333;0,013833333;0,012833333;0,013444444;0,01275;0,01175;0,011833333;0,012583333
Кривий Ріг;4793340;Завислі речовини;0,46;0,44;0,51;0,42;0,4;0,49;0,24;0,35;0,37;0,73;0,36;0,15;0,56;0,27;0,47;0,49;0,5;0,5;0,522222222;0,45;0,36;0,53;0,31;0,57;0;0,92;null
