city;coordinateNumber;nameImpurity;1February;2February;3February;5February;6February;7February;8February;9February;10February;11February;12February;13February;14February;15February;16February;17February;19February;20February;21February;22February;23February;24February;26February;27February;28February;29February
Кам'янське;4853460;Формальдегiд;0,009225;0,0094625;0,0098875;0,0083375;0,0117125;0,0095625;0,0092125;0,0088625;0,0081625;null;0,009675;0,0093125;0,0114875;0,0114625;0,0110375;0,009775;0,00955;0,0121375;0,010925;0,01265;0,011575;0,009725;0,009525;0,0113;0,010725;0,009475
Краматорськ;4873760;Завислі речовини;0,075;0,1;0,1;0,075;0,125;0,075;0,1;0,075;0,1;null;0,1;0,175;0,15;0,15;0,1;0,125;0,075;0,1;0,125;0,125;0,125;0,1;0,025;0,025;0,05;0,075
Краматорськ;4873760;Дiоксид сiрки;0,005125;0,001275;0,00225;0,001775;0,0035;0,001475;0,001275;0,00045;0,004925;null;0,004;0,004725;0,00215;0,0095;0,001275;0,006025;0,00205;0,001975;0,002775;0,01345;0,011925;0,000825;0,001375;0,003975;0,0034;0,002625
Краматорськ;4873760;Оксид вуглецю;1,25;1;0,75;0,5;0,75;0,5;1;1,5;1;null;1,25;2;1,5;1;1,5;1,25;0,75;0,75;0,5;0,75;0,75;1;1;1,5;3;2,5
Краматорськ;4873760;Дiоксид азоту;0,054425;0,056675;0,11095;0,094425;0,05305;0,048375;0,08285;0,08985;0,081225;null;0,085025;0,070875;0,07465;0,058475;0,058125;0,09;0,04965;0,018875;0,2196;0,082875;0,0576;0,0954;0,09935;0,155625;0,116625;0,103125
Краматорськ;4873760;Фенол;0,00345;0,003175;0,002875;0,002325;0,00895;0,0014;0,008325;0,00295;0,00295;null;0,00475;0,002125;0,011225;0,003775;0,00155;0,002775;0,0032;0,0015;0,00235;0,00125;0,00435;0,002475;0,00245;0,001675;0,0015;0,0014
Краматорськ;4873760;Фтористий водень;0,0089;0,01405;0,015975;0,008975;0,008375;0,008375;0,005525;0,00875;0,0057;null;0,00755;0,007;0,00925;0,0144;0,0072;0,01115;0,01315;0,0062;0,009225;0,00815;0,0086;0,011425;0,010725;0,009025;0,008875;0,00795
Краматорськ;4873760;Формальдегiд;0,016025;0,0117;0,014125;0,010725;0,0201;0,015325;0,0241;0,0246;0,023975;null;0,014525;0,003425;0,00735;0,002925;0,00265;0,00925;0,014425;0,0047;0,011875;0,0098;0,0031;0,003775;0,00295;0,010675;0,001175;0,0006
Кропивницький;4853220;Завислі речовини;0,216666667;0,166666667;0,166666667;0,133333333;0,233333333;0,2;0,15;0,15;0,2;null;0,283333333;0,166666667;0,216666667;0,183333333;0,166666667;0,2;0,166666667;0,183333333;0,25;0,183333333;0,166666667;0,15;0,2;0,216666667;0,2;0,166666667
Кропивницький;4853220;Дiоксид сiрки;0,015083333;0,019008333;0,0196;0,017522222;0,01515;0,019275;0,0154;0,018966667;0,020108333;null;0,017933333;0,023483333;0,015925;0,014308333;0,017091667;0,016775;0,019577778;0,015708333;0,0216;0,021258333;0,017258333;0,020591667;0,014133333;0,014225;0,020133333;0,016683333
Кропивницький;4853220;Сульфати;0,005;0;0,01;0,005;0,01;0,005;0,005;0,005;0;null;0,005;0;0,01;0;0,005;0,01;0;0,01;0,005;0,01;0,01;0,005;0,01;0,005;0;0,005
Кропивницький;4853220;Оксид вуглецю;1,666666667;1,5;1,833333333;1,666666667;1,666666667;1,666666667;2,166666667;2,166666667;2,666666667;null;2,833333333;2,333333333;3;2,833333333;2,333333333;2,166666667;2,333333333;1,666666667;1,666666667;2;2,166666667;2,5;1,666666667;1,833333333;1,333333333;1,666666667
Кропивницький;4853220;Дiоксид азоту;0,045333333;0,025933333;0,042725;0,033255556;0,028275;0,032291667;0,026233333;0,029066667;0,030516667;null;0,031533333;0,031008333;0,030908333;0,02635;0,026833333;0,030591667;0,026622222;0,033433333;0,026033333;0,024;0,03035;0,033258333;0,030822222;0,031891667;0,025016667;0,026091667
Кропивницький;4853220;Оксид азоту;0,031675;0,011625;0,02205;0,0196;0,02255;0,015675;0,018225;0,0189;0,021375;null;0,013966667;0,02285;0,0193;0,018325;0,015425;0,0193;0,016066667;0,020875;0,01755;0,011725;0,019675;0,0138;0,015133333;0,020275;0,0164;0,014075
Кропивницький;4853220;Сажа;0,028333333;0,016666667;0,036666667;0,031666667;0,02;0,021666667;0,025;0,015;0,025;null;0,013333333;0,025;0,036666667;0,03;0,028333333;0,031666667;0,018333333;0,045;0,036666667;0,033333333;0,023333333;0,035;0,026666667;0,031666667;0,033333333;0,031666667
Кропивницький;4853220;Формальдегiд;0,003466667;0,003233333;0,003033333;0,003333333;0,003066667;0,0039;0,0038;0,004333333;0,002033333;null;0,006766667;0,003666667;0,004366667;0,004;0,0027;0,003;0,003;0,002266667;0,004533333;0,001266667;0,0043;0,002266667;0,003;0,003533333;0,0033;0,002533333
Світловодськ;4903340;Завислі речовини;0,05;0,1;0;0,05;0,15;0,15;0,1;0,05;0;null;0,05;0,05;0,05;0,05;0,05;0;0,15;0,05;0,05;0,1;0,05;0,1;null;0;0,1;0,1
