city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Кам'янське;4853460;Амiак;0,04;0,05;0,04;0,05;0,05;null;0,05;0,05;0,05;0,06;0,05;0,05;null;0,05;0,04;0,05;0,04;0,05;0,05;null;0,05;0,05;0,05;0,05;0,05;0,05;null;0,05;0,05;0,05;0,04
Кам'янське;4853460;Формальдегiд;0,012;0,01;0,012;0,011;0,014;null;0,014;0,014;0,012;0,012;0,016;0,016;null;0,015;0,018;0,018;0,014;0,014;0,012;null;0,015;0,017;0,015;0,017;0,016;0,025;null;0,02;0,02;0,017;0,015
Кропивницький;4853220;Завислі речовини;0,27;0,15;0,27;0,38;0,27;null;0,42;0,32;0,27;0,28;0,3;0,32;null;0,32;0,28;0,25;0,27;0,33;0,3;null;0,27;0,23;0,27;0,27;0,23;0,35;null;0,3;0,2;0,28;0,25
Кропивницький;4853220;Дiоксид сiрки;0,017;0,019;0,022;0,019;0,018;null;0,019;0,02;0,021;0,017;0,017;0,016;null;0,018;0,021;0,015;0,024;0,02;0,02;null;0,02;0,021;0,022;0,023;0,022;0,021;null;0,027;0,019;0,02;0,019
Кропивницький;4853220;Сульфати;0,01;0,01;0;0,01;0,02;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0;0,01;0,01;0,01;null;0,01;0,01;0;0,01
Кропивницький;4853220;Оксид вуглецю;2,8;3,3;3,7;3,5;4;null;3,8;4,5;3,5;4,8;5,2;5,5;null;4,8;4,3;4,2;4,5;5;4,5;null;4,3;4,2;4,5;3,5;4,8;4,2;null;5;6;5,3;5,2
Кропивницький;4853220;Дiоксид азоту;0,03;0,03;0,03;0,03;0,03;null;0,03;0,03;0,03;0,03;0,03;0,04;null;0,03;0,02;0,03;0,03;0,03;0,03;null;0,03;0,03;0,03;0,03;0,03;0,03;null;0,03;0,03;0,03;0,03
Кропивницький;4853220;Оксид азоту;0,02;0,02;0,02;0,01;0,01;null;0,01;0,02;0,02;0,01;0,01;0,03;null;0,01;0,01;0,01;0,02;0,02;0,02;null;0,02;0,02;0,03;0,02;0,03;0,02;null;0,01;0,02;0,02;0,01
Кропивницький;4853220;Сажа;0,01;0,01;0,02;0,01;0,02;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,02;0,01;0,01;0,02;null;0,02;0,03;0,02;0,03;0,02;0,02;null;0,03;0,02;0,03;0,02
Кропивницький;4853220;Формальдегiд;0,005;0,005;0,01;0,005;0,004;null;0,004;0,004;0,005;0,006;0,006;0,005;null;0,006;0,007;0,005;0,007;0,008;0,006;null;0,004;0,004;0,005;0,006;0,004;0,01;null;0,009;0,005;0,008;0,004
Світловодськ;4903340;Завислі речовини;0,1;0,1;0,1;0,1;0;null;null;0,15;0,1;0,2;0;0,05;null;0,1;0,1;0,1;0;0,1;0,1;null;0,1;0,05;0,1;0,05;0,05;0,1;null;null;0,1;0;0,05
Світловодськ;4903340;Дiоксид сiрки;0,009;0,022;0,011;0,018;0;null;null;0,048;0,011;0,021;0,018;0,022;null;0,022;0,04;0,013;0,02;0,015;0,009;null;0,027;0,04;0,037;0,013;0,031;0,02;null;null;0,034;0,031;0,011
Світловодськ;4903340;Сульфати;0;0,01;0,01;0,01;0,01;null;null;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0;0;0,01;null;0,01;0,01;0,01;0,01;0;0,01;null;null;0;0;0
Світловодськ;4903340;Оксид вуглецю;1;1;1;1;1;null;null;1;1;1;1;1,5;null;1;1;1;1;1;1;null;1;1;1;1;1;1;null;null;1;1;1
Світловодськ;4903340;Дiоксид азоту;0,03;0,03;0,02;0,03;0,05;null;null;0,01;0,03;0,06;0,02;0,02;null;0,01;0,02;0,03;0,03;0,03;0,03;null;0,03;0,01;0,02;0,03;0,03;0,03;null;null;0,03;0,03;0,01
Світловодськ;4903340;Оксид азоту;0,01;0,02;0,02;0,02;0,02;null;null;0,03;0,04;0,04;0,02;0,02;null;0,01;0,01;0,05;0,02;0,03;0,02;null;0,02;0,02;0,02;0,03;0,04;0,04;null;null;0,01;0,01;0,03
Світловодськ;4903340;Формальдегiд;0,003;0,003;0,003;0,001;0;null;null;0,007;0,01;0,011;0,007;0,013;null;0,005;0,004;0,002;0;0,003;0,005;null;0,006;0,007;0,001;0,001;0,001;0,002;null;null;0,006;0,001;0,001
Львів;4982410;Завислі речовини;0,17;0,19;0,21;0,17;0,18;null;0,23;0,17;0,15;0,11;0,16;0,16;null;0,15;0,19;0,18;0,15;0,16;0,2;null;0,23;0,17;0,18;0,17;0,18;0,16;null;0,19;0,21;0,17;0,19
Львів;4982410;Дiоксид сiрки;0,004;0,005;0,004;0,004;0,004;null;0,005;0,005;0,005;0,004;0,004;0,006;null;0,004;0,004;0,004;0,004;0,005;0,005;null;0,004;0,005;0,005;0,006;0,007;0,005;null;0,005;0,004;0,006;0,005
Львів;4982410;Оксид вуглецю;3;3;3,1;2,7;2,9;null;3,2;2,8;2,3;1,9;2,7;2,9;null;2,9;3;2,9;2,8;2,8;2,9;null;3,3;3,1;3,1;2,9;2,9;2,8;null;2,9;3,2;3,1;3,1
Львів;4982410;Дiоксид азоту;0,05;0,06;0,06;0,06;0,06;null;0,09;0,06;0,06;0,03;0,04;0,04;null;0,04;0,06;0,05;0,05;0,06;0,05;null;0,05;0,05;0,05;0,06;0,04;0,05;null;0,05;0,05;0,05;0,05
Львів;4982410;Оксид азоту;0,03;0,04;0,04;0,03;0,04;null;0,06;0,04;0,04;0,03;0,03;0,03;null;0,03;0,04;0,03;0,03;0,04;0,04;null;0,03;0,03;0,03;0,04;0,03;0,03;null;0,04;0,03;0,04;0,03
Львів;4982410;Фтористий водень;0,003;0,003;0,003;0,004;0,003;null;0,004;0,003;0,003;0,003;0,004;0,003;null;0,003;0,004;0,004;0,003;0,004;0,004;null;0,004;0,004;0,005;0,004;0,005;0,004;null;0,004;0,004;0,004;0,004
Львів;4982410;Формальдегiд;0,004;0,005;0,005;0,005;0,005;null;0,01;0,006;0,005;0,002;0,002;0,002;null;0,002;0,003;0,004;0,003;0,003;0,004;null;0,004;0,004;0,004;0,003;0,003;0,004;null;0,004;0,003;0,003;0,003
Миколаїв;4703200;Завислі речовини;0,05;0,1;0,1;0,1;0,08;null;0,06;0,08;0,09;0,08;0,06;0,08;null;0,03;0,05;0,05;0,08;0,05;0,05;null;0,08;0,08;0,03;0,05;0,05;0,05;null;0,08;0,05;0,03;0,05
Миколаїв;4703200;Дiоксид сiрки;0,008;0,005;0,003;0,001;0,004;null;0,006;0,005;0,004;0,01;0,006;0,005;null;0,004;0,003;0,005;0,006;0,004;0,006;null;0,007;0,011;0,005;0,002;0,003;0,002;null;0,005;0,01;0,007;0,006
Миколаїв;4703200;Оксид вуглецю;0,3;0,3;0,3;0,5;0,3;null;0,8;0,5;0,5;0,9;0,9;0,5;null;0;0,3;0,5;0,5;0,8;0;null;1,8;1,5;1,5;1,3;0,8;0,8;null;0,8;0,8;1,3;1,5
Миколаїв;4703200;Дiоксид азоту;0,04;0,05;0,05;0,05;0,03;null;0,04;0,04;0,04;0,04;0,03;0,03;null;0,05;0,06;0,03;0,02;0,03;0,03;null;0,03;0,05;0,05;0,06;0,06;0,04;null;0,04;0,01;0,04;0,05
Миколаїв;4703200;Оксид азоту;null;null;null;null;null;null;0,02;0,03;0,02;0,03;0,02;0,01;null;0,02;0,03;0,02;0,01;0,01;0;null;0,02;0,03;0,04;0,03;0,04;0,03;null;0,02;0,03;0,01;0,01
Миколаїв;4703200;Фтористий водень;0,003;0,001;0;0,001;0,001;null;0,001;0,003;0,001;0,002;0,001;0,001;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Миколаїв;4703200;Формальдегiд;0,015;0,013;0,012;0,008;0,008;null;0,014;0,01;0,011;0,012;0,013;0,009;null;0,012;0,016;0,013;0,012;0,011;0,007;null;0,011;0,012;0,011;0,007;0,013;0,009;null;0,008;0,01;0,009;0,01
Одеса;4643080;Завислі речовини;0,25;0,23;0,26;0,21;0,26;null;0,26;0,29;0,24;0,23;0,27;0,27;null;0,26;0,24;0,21;0,18;0,18;0,17;null;0,19;0,14;0,21;0,29;0,17;0,11;null;0,18;0,22;0,22;0,18
Одеса;4643080;Дiоксид сiрки;0,044;0,043;0,038;0,034;0,028;null;0,026;0,03;0,03;0,032;0,032;0,034;null;0,036;0,036;0,04;0,029;0,027;0,029;null;0,033;0,038;0,035;0,041;0,048;0,039;null;0,04;0,044;0,031;0,039
Одеса;4643080;Сульфати;0,02;0,02;0,02;0,02;0,02;null;0,02;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Одеса;4643080;Оксид вуглецю;1,1;1,2;1,2;1,2;1,2;null;1,2;0,6;0,7;0,7;0,5;0,5;null;1;0,7;0,7;0,6;0,6;0,7;null;0,7;0,6;0,7;0,7;0,8;0,7;null;0,7;0,7;0,8;0,7
Одеса;4643080;Дiоксид азоту;0,06;0,05;0,05;0,05;0,04;null;0,03;0,04;0,04;0,04;0,04;0,05;null;0,03;0,04;0,03;0,02;0,02;0,03;null;0,04;0,04;0,04;0,04;0,05;0,05;null;0,05;0,06;0,05;0,05
Одеса;4643080;Оксид азоту;0,04;0,04;0,04;0,04;0,02;null;0,02;0,02;0,03;0,02;0,03;0,03;null;0,02;0,03;0,03;0,03;0,03;0,02;null;0,02;0,02;0,03;0,04;0,03;0,03;null;0,03;0,03;0,03;0,03
Одеса;4643080;Сiрководень;0,001;0,001;0,001;0,002;0,001;null;0,002;0,002;0,002;0,002;0,002;0,002;null;0,002;0,002;0,002;0,001;0,001;0,002;null;0,002;0,002;0,002;0,001;0,002;0,002;null;0,002;0,002;0,002;0,001
